Time_days,Parameter,S1,pval
2,gammaCR,0.6084803402380972,1.1577128145034976e-10
2,gammaC,0.18147967455401393,8.98384827197063e-06
2,mC,0.17803260550122432,0.034091570232285595
2,gammaS,0.1621625445492389,0.00029389944164159854
2,deltaC,0.11005307621811758,0.0
2,p1,0.07815663038068593,5.816532914348915e-05
2,CRmax,0.07644569471594743,0.0026459955390859546
2,p2,0.023427324263986297,0.0008028336861132246
2,Cmax,0.01731777719211792,0.0
2,r2,0.0021602313463086912,0.0001598529202729848
2,deltaCk2,0.0008049824264913213,6.916913807475389e-05
2,muC2,0.0004533675386249379,0.00014463704860978588
2,k4,0.0004330163912368565,2.332979641028743e-06
2,k6,0.000200038576969592,0.029561725633406644
2,deltaTc,0.00013492489976774325,0.0017197675475665308
2,deltaCk1,0.00011791986110737548,0.0027589017942110106
2,deltaCk3,9.970143874712327e-05,0.006320376621175461
2,r1,7.313783273778923e-05,5.6465599196364735e-08
2,betaTh1CK2,6.906364113772124e-05,3.337410684123299e-05
2,muS,5.3145012677154763e-05,1.517406755802142e-09
2,gammaTc,5.0199073748525026e-05,0.0009393567578089845
2,deltaTh1,3.495848683183232e-05,0.007518634863602158
2,gammaTh1,2.670979487757068e-05,0.0017831111532233823
2,lambdaTh1,1.8366900604463764e-05,1.1558179535575697e-05
2,muC1,1.717711697767773e-05,0.003356082558215401
2,lambdaTc4,1.5517556981820946e-05,0.011458443356403891
2,deltaCR,1.4847510122844797e-05,0.0
2,deltaM1,1.4831298557330758e-05,0.00013487373005838244
2,k1,1.4316387965228452e-05,3.02561420362224e-10
2,k3,1.1594915667533217e-05,0.0
2,muTh1Ck3,2.9780442303217906e-06,2.031587242878885e-08
2,mS,2.9126887037190597e-06,0.003024817580532746
2,betaTc,2.728909453757956e-06,0.01407435477903174
2,k5,1.8095024318357257e-06,8.815202393819277e-06
2,deltaTh2,8.567385908528364e-07,0.026561037996094106
2,tck,1.8703586649314502e-07,0.00019998439076773789
2,ktc3,8.821745726792199e-08,1.28347075859514e-05
2,ktc4,7.557087468345748e-08,0.02157488102397853
2,betaTh2,7.499993782409627e-08,0.00014730568206555716
2,ktc1,6.235125712217805e-08,2.7663572849112583e-06
2,muM1Ck2,1.0281132362676476e-08,0.0016084733037718957
2,betaTreg,8.028253856002959e-09,0.013721618631307275
2,deltaS,7.637202987268178e-09,2.0270827083557208e-07
2,k7,5.626990638855731e-09,0.0013552933035383408
2,deltaTreg,6.79018598385045e-10,2.702037271995472e-05
2,muSR,3.026689436024368e-10,0.00023365125672580866
