Time_days,Parameter,S1,pval
2,p1,0.6717722695892011,0.006094192534213061
2,gammaS,0.29209979534248365,4.0209912428368355e-05
2,p2,0.12898344300857773,0.00583538397504435
2,k1,0.005011087327146504,0.0006187946928307708
2,muS,0.0011491722034685944,0.019397195449142313
2,deltaCk2,0.0007766486942915966,1.0364481867974895e-05
2,deltaTh1,0.00018273564250852954,0.0046887635387612425
2,betaTh1CK2,0.00017490410463999876,0.020057985204540607
2,gammaTh1,6.530109795333762e-05,0.0
2,deltaM1,2.3559736889413542e-05,0.024050972912767365
2,deltaTc,2.08947455865156e-05,0.015054054061164557
2,lambdaTh1,1.682885939695838e-05,0.026777484730342582
2,tck,8.425132841378432e-06,0.0005474146731387908
2,betaTc,4.373508389164492e-06,0.023438442829141537
2,muTh1Ck3,4.252638103097362e-06,0.0
2,deltaCk3,2.790184122055734e-06,5.438128664936315e-05
2,ktc1,2.2342314933216742e-06,0.04563806786366065
2,gammaTc,1.2552257776405696e-06,4.040831558249636e-09
2,lambdaTc4,8.195170313004768e-07,0.004608569312147703
2,mS,5.936871989111816e-07,0.022985259021734428
2,k9,4.29545172678227e-07,0.0
2,betaTh1CK3,2.2474540957658252e-07,0.00367463287192471
2,deltaS,1.4381720205792886e-07,0.0
2,muM1Ck2,8.931921082144112e-08,0.009058813880735928
2,k7,4.9990056637286e-08,0.0002815893056165031
2,deltaCk1,1.4903161264302784e-08,0.004788658455218697
2,gammaC,1.6058819514156967e-09,0.02237835459700377
2,r1,3.91324064043544e-10,0.03422511511010462
2,gammaCR,3.4468089866190996e-10,0.002920566412443648
4,p1,0.6700326032734968,0.006441814359022913
4,gammaS,0.3007330371683124,5.384174354194915e-05
4,p2,0.1322842073063927,0.003568986158862808
4,k1,0.002516652904663411,0.001335861430508678
4,muS,0.0005128117828505842,0.04675728331914408
4,deltaCk2,0.00040272692619596954,1.6351906440004171e-07
4,deltaTh1,0.00012106082484625867,0.0077622132402828115
4,betaTh1CK2,0.00010224559082734498,0.008613155890250579
4,gammaTh1,4.8170623659053736e-05,5.1797393159858096e-05
4,deltaM1,2.4771264909981345e-05,0.047783131949394764
4,deltaTc,1.1257636888055751e-05,0.009924133921346945
4,lambdaTh1,1.024032724110922e-05,0.02545437838518272
4,tck,4.139407084558268e-06,0.0019242420250982217
4,muTh1Ck3,2.4917167563759014e-06,3.1433744496212057e-12
4,betaTc,2.0532543824815202e-06,0.024308398505520024
4,deltaCk3,1.7965794843510568e-06,8.076368048115512e-05
4,ktc1,1.164740537542351e-06,0.04188296990698015
4,mS,6.623608158998599e-07,0.02115832845413923
4,gammaTc,6.055013008042184e-07,1.3842350599091446e-09
4,lambdaTc4,3.506335030800678e-07,0.005961412750814743
4,k9,3.0804069614319964e-07,0.0008416325112847733
4,deltaS,2.8773878068734535e-07,0.0
4,betaTh1CK3,1.1857388852983853e-07,0.0014732617896002775
4,k7,4.731098103719426e-08,0.0019883204270846333
4,deltaTh2,1.2334930447112517e-08,0.005303864452748774
4,gammaCR,1.1534578992037986e-08,0.016367277613586806
4,gammaC,9.242094148461299e-10,0.001077058735923564
4,mC,1.7312946126659451e-10,0.004693745778651892
6,p1,0.6696790380163588,0.0065141087074155335
