Time_days,Parameter,S1,pval
2,gammaS,0.3009625756304872,0.0
2,mS,0.2698005495681124,0.0
2,p1,0.03442201282219231,6.944376556461407e-06
2,p2,0.02086291962169254,5.702364833659601e-07
2,deltaCk2,0.00017291772468076982,0.014035940853440287
2,muS,0.00016020433822934183,9.662840464441658e-07
2,k1,8.229031031832042e-05,2.8486918890457957e-07
2,muSR,1.3000223562153627e-05,9.149060609892068e-06
2,betaTh1CK2,1.0968281340637176e-05,7.613576435971936e-12
2,k2,1.013290457534914e-05,0.001200811255284595
2,gammaTh1,3.970152718984413e-06,7.060424911387031e-08
2,deltaTc,2.879931346430439e-06,0.021777905786032004
2,lambdaTh1,2.7146513347269947e-06,0.009694237955814922
2,deltaTh1,2.2297536853179603e-06,9.20178873740074e-05
2,deltaM1,1.614504058241265e-06,0.008975740580051905
2,tck,1.1746448732592569e-06,0.0007637626329269898
2,ktc2,7.979113610262285e-07,0.02401130811188379
2,lambdaTc4,5.632245012814187e-07,0.016260155258859155
2,gammaTc,4.989554598117086e-07,0.008831261515612199
2,deltaCk3,2.4458720533855665e-07,0.0005497125777336187
2,ktc1,1.5384205450892243e-07,0.00016171974408873968
2,muTh1Ck3,1.3944739098824555e-07,0.00024704662281338496
2,k9,1.3373999225740524e-07,0.0005188392924699858
2,betaTc,9.79087210305874e-08,2.601006217073376e-07
2,deltaS,7.899841938454944e-08,1.6475709685437323e-13
2,betaTh1CK3,3.232570674688725e-08,2.313106924967112e-05
2,deltaCk1,1.4252879273822162e-08,6.542467654080397e-06
2,gammaC,1.2233803031997484e-08,0.024391581325155953
2,deltaC,6.84501569544028e-09,0.018932952092064248
2,Cmax,3.4599686896742366e-09,0.00611697751318141
2,mC,1.7974467328070607e-09,0.0014882589228909504
2,muM1Ck2,1.6437932335385842e-09,1.6795445286765798e-06
2,lambdaTh2,1.0383310525135318e-09,0.038209184135129415
2,CRmax,8.844693115575242e-10,0.02890850740130646
2,k7,4.630253155006273e-10,8.157803595976176e-06
2,gammaTh2,1.8889561306308434e-10,0.024030013568962283
2,r1,1.3986136015589013e-10,0.04331938599833496
4,gammaS,0.3216366388238233,0.0
4,mS,0.2577402879694297,0.0
4,p1,0.048870349945527095,0.0001496441314635666
4,p2,0.031523991562783175,8.459925198633922e-05
4,deltaCk2,0.00016093425479001277,0.009114174608438885
4,muS,0.00015686592868846175,5.746469620149242e-07
4,k1,9.825595381913102e-05,4.484088211853532e-09
4,betaTh1CK2,1.3025904401689638e-05,2.733875710370093e-06
4,muSR,8.23108306081996e-06,4.005632301296025e-06
4,gammaTh1,5.639533272455375e-06,5.8924456425302196e-08
4,k2,5.4488758656535e-06,0.0001456947208249293
4,lambdaTh1,4.074777695102032e-06,0.0064550883875558185
4,deltaTh1,3.8764923878062615e-06,0.003141422197882604
4,deltaM1,2.76115835764959e-06,0.030026642348497057
4,deltaTc,1.9342386895226313e-06,0.010267708609281279
4,tck,7.893588533358747e-07,0.0005173494006149859
4,lambdaTc4,4.1187337059652395e-07,0.019144459305133754
4,ktc2,3.9118722720705196e-07,0.028199574254571425
4,deltaCk3,3.741145770041761e-07,0.0010084113777932835
4,gammaTc,3.1861715024980173e-07,0.007128102722181784
4,k9,1.8099383739007967e-07,0.001788801030920495
4,deltaS,1.594817215485473e-07,1.1449309722522116e-08
4,ktc1,1.3595601088177463e-07,0.003661273258669273
4,muTh1Ck3,1.3367363545528676e-07,0.005719841453682317
4,betaTc,9.122049441750956e-08,5.305481102224618e-07
4,betaTh1CK3,5.683884642310962e-08,0.002613382502183015
4,gammaCR,1.9381703416893545e-08,0.001992542260285002
4,deltaCk1,1.4260330292000715e-08,0.002302600621295503
4,gammaC,1.2408934625227437e-08,0.022447856280886636
4,deltaC,6.4121977193200125e-09,0.00508079304242226
4,muM1Ck2,2.7999209609836486e-09,4.065639211625616e-06
4,CRmax,2.0643689476502086e-09,0.006126433133692877
4,mC,1.8952994604437654e-09,0.0079904491629611
4,lambdaTh2,1.420171331673901e-09,0.0027523605421883035
4,Cmax,1.2566682186698085e-09,0.005570883456591735
4,betaTh2,1.1872624533259163e-09,0.02152426835084509
4,k7,8.905506271427721e-10,5.773159728050814e-15
4,gammaTh2,6.753042655201686e-10,0.0009278831974985913
4,k4,5.396681913935638e-10,0.02967868304946375
4,r2,5.144693259308467e-10,0.0018114950888272752
4,deltaM2,3.4630015286486465e-10,0.028733948808981502
6,gammaS,0.33716007537388865,0.0
6,mS,0.24751571517432852,0.0
6,p1,0.06627575543182022,0.0001563345480301015
6,p2,0.04258450410714197,0.000845087593323357
6,deltaCk2,0.0001495594920563886,0.006228803519509829
6,muS,0.00014615746270007438,1.3047517077868775e-07
6,k1,0.00010667185339318886,5.59087220963761e-10
6,betaTh1CK2,1.342290420155773e-05,8.453471654212841e-05
6,muSR,6.081226464656476e-06,2.2087850426455446e-05
6,gammaTh1,5.512464215394258e-06,2.6720774825017557e-06
6,lambdaTh1,4.292981685823738e-06,0.0031802919178541833
6,deltaTh1,4.280792738691228e-06,0.007677326990249589
6,k2,3.5601866874073135e-06,0.0005141522981159108
6,deltaM1,3.2388509801512836e-06,0.01379547486055599
6,deltaTc,1.5739199209328655e-06,0.0043250823599607635
6,tck,6.408492324425153e-07,0.000437311637392912
6,deltaCk3,4.031882352521381e-07,0.004595194449927842
6,lambdaTc4,2.9303053786736233e-07,0.041545340818729515
6,ktc2,2.4185956208590203e-07,0.03244792481796932
6,deltaS,2.415073925505011e-07,3.144279029809738e-06
6,gammaTc,2.3563173019173348e-07,0.006542485976053003
6,k9,1.7325278073915297e-07,0.0003954915473758369
6,muTh1Ck3,1.2624962628945943e-07,0.002361202364219994
6,ktc1,1.2312583915949917e-07,0.005668358487858738
6,betaTc,8.639499348751637e-08,3.085580346784411e-09
6,betaTh1CK3,5.8654317989662994e-08,0.0011468361421984596
6,CRmax,4.887943671995963e-08,0.01321689990305508
6,deltaC,4.1649072185531795e-08,1.1405190125657327e-08
6,deltaCk1,3.855939252828454e-08,9.568013048522062e-12
6,mC,1.8243952070346347e-08,2.0275694445626158e-07
6,gammaCR,1.7752500501360618e-08,0.004671413283113046
6,gammaTh2,1.0591771904166894e-08,0.007730344842858505
6,k4,1.0057875093229283e-08,0.03734567825186197
6,muM1Ck2,9.813893511696083e-09,1.0762879365522338e-08
6,k7,7.975989455168453e-09,0.0012793472831824637
6,betaTh2,5.803105044246182e-09,9.299319000843909e-06
6,Cmax,5.1024917848321094e-09,9.051829286121915e-10
6,r2,5.059077824279633e-09,0.0003395579996267051
6,deltaM2,4.539980963666795e-09,0.019577460388556345
6,lambdaTc1,3.949761908829682e-09,0.0003960945800779436
6,muC2,3.440328134993161e-09,6.72367326939316e-05
6,k6,2.6185247116851194e-09,0.0005120146246695434
6,deltaTreg,2.3928859704932954e-09,0.0019237087862249425
6,betaTreg,1.935597004797823e-09,0.016319367021251252
6,deltaCR,1.1598659298247406e-09,0.004428228566268788
6,r1,3.983029385760486e-10,0.025188927261420746
10,gammaS,0.3297571663684188,3.3084646133829665e-14
10,mS,0.20388390281352126,3.3709557367700427e-10
10,deltaCk1,0.11224072690106476,0.00840025704456182
10,deltaTc,0.10044520310398683,0.01512514168632928
10,gammaCR,0.09814209141643734,0.01443061472357876
10,p1,0.09738730380512682,3.2144405052836333e-05
10,gammaTc,0.07566433011975052,0.005546499640320501
10,p2,0.07298603339307277,0.0002670357821147329
10,gammaTh1,0.05601574367166726,0.00949679203613163
10,deltaTh1,0.05558827803270572,4.546034720931402e-05
10,deltaM1,0.055321536006797664,0.0001744703828524541
10,gammaC,0.05501968314550737,0.00017441447873889349
10,lambdaTc4,0.050886179589667,2.6968515198455556e-05
10,mC,0.04827439945099771,0.002621304153973436
10,deltaTh2,0.04548886454281387,0.0019843403343536847
10,CRmax,0.04307779902523373,0.002350035947436213
10,deltaC,0.04239425721172355,0.005406981371947062
10,lambdaTh1,0.04140932759865061,0.00024663914700229217
10,lambdaTh2,0.03910461254450067,0.030052972260098065
10,lambdaTc1,0.03538898952272222,0.02436295364523844
10,gammaTh2,0.02412632679968891,1.736888410874826e-11
10,deltaCk2,0.020314314105401708,0.010672320891928821
10,deltaCk3,0.015952434020441043,0.0024925629896024315
10,deltaTreg,0.014632733775250368,0.04871451301176277
10,muTh1Ck3,0.014431619952401314,0.001590612056319607
10,Cmax,0.007352521460020874,0.023517862145433166
10,k9,0.006901310231958356,6.067112368057792e-10
100,gammaCR,0.9753661221832403,0.0
100,muS,0.947887480023072,0.0
100,lambdaTc4,0.9472176694525352,0.0
100,gammaS,0.936292264180951,0.0
100,deltaCk3,0.931564907601009,0.0
100,p1,0.9277576391407752,0.0
100,k5,0.9242112405842523,0.0
100,tck,0.8840859690688081,0.0
100,mC,0.8668149717481611,1.7119639039719914e-13
100,k7,0.8552572790042117,1.1102230246251565e-16
100,mS,0.8516159561269268,0.0
100,p2,0.8328392624264301,1.27119345050275e-08
100,muC2,0.8254133666069361,1.7625358395001456e-08
100,lambdaTc1,0.7924682072999287,2.754096494195224e-07
100,gammaC,0.7754069618828544,1.693513107525746e-10
100,muTh1Ck3,0.7743610872928465,1.5654144647214707e-14
100,betaTh1CK3,0.7591462998344867,1.5683978014102706e-06
100,gammaM1,0.7470932697071855,7.561212715945231e-07
100,Cmax,0.7271995053759928,9.012204693625847e-08
100,deltaTh2,0.7246240184826573,2.1212355971744756e-06
100,deltaCR,0.7071764683159701,1.0569993243780829e-05
100,lambdaTh1,0.7045962616751937,6.96295807678382e-08
100,k6,0.7045869159393372,2.3791900149339185e-05
100,muM1Ck2,0.6939629705533636,1.5826817424402506e-06
100,k9,0.6911989783344552,3.6094064925773495e-07
100,betaTh2,0.681840964156424,4.87476373667306e-06
100,deltaCk2,0.6721745160672665,1.5534037427489267e-05
100,k1,0.6615495724793066,5.813758234829436e-07
100,k2,0.6573683925916536,8.503819004523905e-08
100,deltaTh1,0.6568151792903301,0.00010080310521087821
100,deltaM1,0.6517823274052846,6.650235917504688e-13
100,gammaTh1,0.6309381341106748,0.000266016636923494
100,r2,0.6149406683538269,0.0017529358203574041
100,deltaC,0.6078467678063827,0.0001808880628602072
100,muSR,0.600559125545617,2.0931536983681553e-06
100,deltaCk1,0.5832304107208333,0.0002411770655958989
100,deltaTc,0.5741099368891909,0.00033738412506467697
100,gammaTc,0.572362821515772,2.7187802860151322e-05
100,k4,0.5647275783763124,0.00020062336256532198
100,betaTreg,0.5268997762841275,0.0007588795958736183
100,gammaTh2,0.5094617351522215,0.0007535469598315414
100,lambdaM1,0.503655176459048,0.003312964794207396
100,lambdaTc3,0.4986104474147366,0.0062413421493008325
100,CRmax,0.49098109276055013,0.00013046762866086858
100,betaM2,0.4740664473347608,0.0073792534857559655
100,k10,0.46722022117870027,0.008380757295206043
100,muC1,0.4573215485666918,0.010772956542511203
100,deltaTreg,0.45718875337128784,0.002450286660706791
100,gammaM2,0.45303246264678726,0.012033104213303836
100,ktc1,0.45302749885835925,0.0
100,ktc4,0.44714296404410925,0.01392041475860284
100,ktc3,0.44227813905807506,0.005037779761024042
100,lambdaTreg2,0.43297766696780615,0.018782644086965172
100,lambdaTh2,0.42745418388805884,0.005716656501931094
100,muTcS,0.4012438554638825,0.015570291784377632
100,lambdaM2,0.3957835121661664,0.024432061014298845
100,betaTc,0.3903066618151293,0.003805912965273217
100,k3,0.38640645938948104,0.021613093200581357
100,muM2Ck1,0.36033032533196313,0.008772520227235625
